0	gestational diabetes	NA	NA	ABSTRACT	Knowledge regarding the genetic risk loci for gestational diabetes mellitus (GDM) is still limited.
0	NA	NA	NA	ABSTRACT	In this study, we performed a two-stage genome-wide association analysis in Korean women.
0	NA	NA	NA	ABSTRACT	In the stage 1 genome scan, 468 women with GDM and 1,242 nondiabetic control women were compared using 2.19 million genotyped or imputed markers.
0	NA	NA	NA	ABSTRACT	We selected 11 loci for further genotyping in stage 2 samples of 931 case and 783 control subjects.
0	NA	NA	NA	ABSTRACT	The joint effect of stage 1 plus stage 2 studies was analyzed by meta-analysis.
0	diabetes	NA	NA	ABSTRACT	We also investigated the effect of known type 2 diabetes variants in GDM.
0	diabetes	NA	NA	ABSTRACT	Two loci known to be associated with type 2 diabetes had a genome-wide significant association with GDM in the joint analysis.
1	NA	CDKAL1	rs7754840	ABSTRACT	rs7754840, a variant in CDKAL1, had the strongest association with GDM (odds ratio 1.518; P = 6.65 x 10-16).
1	NA	MTNR1B	rs10830962	ABSTRACT	A variant near MTNR1B, rs10830962, was also significantly associated with the risk of GDM (1.454; P = 2.49 x 10-13).
0	diabetes	NA	NA	ABSTRACT	We found that there is an excess of association between known type 2 diabetes variants and GDM above what is expected under the null hypothesis.
1	NA	CDKAL1	NA	ABSTRACT	In conclusion, we have confirmed that genetic variants in CDKAL1 and near MTNR1B are strongly associated with GDM in Korean women.
0	diabetes	NA	NA	ABSTRACT	There seems to be a shared genetic basis between GDM and type 2 diabetes
0	Type 2 diabetes	NA	NA	INTRO	There has been a marked increase in our understanding of the genetic predisposition to type 2 diabetes as a result of the technical advances in array-based genotyping and the knowledge derived from the Human Genome Project.
0	diabetes	NA	NA	INTRO	Recent genome-wide association (GWA) studies and meta-analyses, including the Diabetes Genetics Replication and Meta-analysis+ (DIAGRAM+) Study, the Meta-analyses of Glucose and Insulin-Related Traits Consortium (MAGIC) Study, and the recent GWA studies of type 2 diabetes in Asians, enlisted up to 41 genetic risk loci for type 2 diabetes or glycemic traits.
0	diabetes	NA	NA	INTRO	However, these loci explain only a limited part of the expected heritability of type 2 diabetes.
0	diabetes	NA	NA	INTRO	A complementary approach to improve our insight into the genetics of diabetes might involve the identification of genetic risk loci in a different subtype of diabetes, such as gestational diabetes mellitus (GDM).
0	diabetes	NA	NA	INTRO	This approach could enable us to compare the genetic risk factors between type 2 diabetes and GDM and relate the similarities and dissimilarities to the pathophysiology of the two closely related diseases
0	glucose homeostasis	NA	NA	INTRO	GDM is defined as abnormal glucose tolerance first recognized during pregnancy.
0	NA	NA	NA	INTRO	The estimated prevalence of GDM varies according to ethnicity, and in Korean women, 2-5 of 100 pregnancies are complicated by GDM.
0	NA	insulin	NA	INTRO	During pregnancy, women are faced with increased adiposity and increased insulin resistance.
0	NA	insulin	NA	INTRO	The insulin resistance that develops during pregnancy is explained in part by the increased production of human placental lactogen, estrogen, and prolactin.
0	NA	insulin	NA	INTRO	Those who have limited beta-cell capacity for the compensation of insulin resistance are likely to develop GDM.
0	diabetes	insulin	NA	INTRO	Women with GDM are assumed to have decreased beta-cell insulin secretory function similar to type 2 diabetes.
0	diabetes	NA	NA	INTRO	After parturition, nearly one-half of these women progress to type 2 diabetes within 5 years.
0	diabetes	NA	NA	INTRO	Therefore, GDM is often regarded as a herald of type 2 diabetes in later life
0	diabetes	NA	NA	INTRO	Based on these findings, it can be hypothesized that GDM and type 2 diabetes share a common genetic background.
0	diabetes	NA	NA	INTRO	We have previously reported that some of the genetic variants that are strongly associated with type 2 diabetes are similarly associated with GDM risk.
